filepath,species,removal_reason
data\raw\images\cat_00246_flickr_cat_000280.jpg,cat,duplicate
data\raw\images\cat_00886_pixabay_cat_000174.jpg,cat,duplicate
data\raw\images\cat_00918_pixabay_cat_000210.jpg,cat,duplicate
data\raw\images\cat_01084_pixabay_cat_000394.jpg,cat,duplicate
data\raw\images\cat_01183_pixabay_cat_000501.jpg,cat,duplicate
data\raw\images\cat_01369_pixabay_cat_000709.jpg,cat,duplicate
data\raw\images\cat_01432_pixabay_cat_000779.jpg,cat,duplicate
data\raw\images\cat_01451_pixabay_cat_000799.jpg,cat,duplicate
data\raw\images\cat_01548_pixabay_cat_000913.jpg,cat,duplicate
data\raw\images\cat_01559_pixabay_cat_000924.jpg,cat,duplicate
data\raw\images\cat_01575_pixabay_cat_000942.jpg,cat,duplicate
data\raw\images\cat_01595_pixabay_cat_000962.jpg,cat,duplicate
data\raw\images\cat_01695_pixabay_cat_001072.jpg,cat,duplicate
data\raw\images\cat_01876_pixabay_cat_001267.jpg,cat,corrupted_or_blank
data\raw\images\cat_01903_pixabay_cat_001298.jpg,cat,duplicate
data\raw\images\cat_02000_pixabay_cat_001406.jpg,cat,duplicate
data\raw\images\cat_02041_pixabay_cat_001448.jpg,cat,duplicate
data\raw\images\cat_02072_pixabay_cat_001485.jpg,cat,duplicate
data\raw\images\cat_02132_pixabay_cat_001547.jpg,cat,duplicate
data\raw\images\cat_02143_pixabay_cat_001558.jpg,cat,duplicate
data\raw\images\cat_02248_pixabay_cat_001673.jpg,cat,duplicate
data\raw\images\cat_02304_pixabay_cat_001735.jpg,cat,duplicate
data\raw\images\cat_02330_pixabay_cat_001761.jpg,cat,duplicate
data\raw\images\cat_02393_pixabay_cat_001826.jpg,cat,duplicate
data\raw\images\cat_02396_pixabay_cat_001829.jpg,cat,duplicate
data\raw\images\cat_02428_pixabay_cat_001862.jpg,cat,duplicate
data\raw\images\cat_02429_pixabay_cat_001863.jpg,cat,duplicate
data\raw\images\cat_02439_pixabay_cat_001873.jpg,cat,duplicate
data\raw\images\cat_02645_pixabay_cat_002094.jpg,cat,duplicate
data\raw\images\cat_02662_pixabay_cat_002111.jpg,cat,duplicate
data\raw\images\cat_02676_pixabay_cat_002127.jpg,cat,duplicate
data\raw\images\cat_02681_pixabay_cat_002134.jpg,cat,duplicate
data\raw\images\cat_02685_pixabay_cat_002139.jpg,cat,duplicate
data\raw\images\cat_02837_pixabay_cat_002306.jpg,cat,duplicate
data\raw\images\cat_02848_pixabay_cat_002320.jpg,cat,duplicate
data\raw\images\cat_03123_pixabay_cat_002615.jpg,cat,duplicate
data\raw\images\cat_03228_pixabay_cat_002730.jpg,cat,duplicate
data\raw\images\cat_03625_pixabay_cat_003162.jpg,cat,duplicate
data\raw\images\cat_03695_pixabay_cat_003241.jpg,cat,duplicate
data\raw\images\cat_03783_pixabay_cat_003331.jpg,cat,duplicate
data\raw\images\cat_03863_pixabay_cat_003420.jpg,cat,duplicate
data\raw\images\cat_03868_pixabay_cat_003425.jpg,cat,duplicate
data\raw\images\cat_03899_pixabay_cat_003459.jpg,cat,duplicate
data\raw\images\cat_04271_pixabay_cat_003868.jpg,cat,duplicate
data\raw\images\cat_04283_pixabay_cat_003882.jpg,cat,duplicate
data\raw\images\cat_04340_pixabay_cat_003946.jpg,cat,duplicate
data\raw\images\cat_04450_pixabay_cat_004065.jpg,cat,duplicate
data\raw\images\cat_04506_pixabay_cat_004124.jpg,cat,duplicate
data\raw\images\cat_04511_pixabay_cat_004129.jpg,cat,duplicate
data\raw\images\cat_04657_pixabay_cat_004287.jpg,cat,duplicate
data\raw\images\cat_04693_pixabay_cat_004326.jpg,cat,duplicate
data\raw\images\cat_04699_pixabay_cat_004332.jpg,cat,duplicate
data\raw\images\cat_04747_pixabay_cat_004386.jpg,cat,duplicate
data\raw\images\cat_04825_pixabay_cat_004469.jpg,cat,duplicate
data\raw\images\cat_04931_pixabay_cat_004588.jpg,cat,duplicate
data\raw\images\cat_04936_pixabay_cat_004593.jpg,cat,duplicate
data\raw\images\cat_04979_pixabay_cat_004644.jpg,cat,duplicate
data\raw\images\cat_05343_pixabay_cat_001003.jpg,cat,duplicate
data\raw\images\cat_05440_pixabay_cat_002307.jpg,cat,duplicate
data\raw\images\cat_05455_pixabay_cat_002467.jpg,cat,duplicate
data\raw\images\cat_05537_pixabay_cat_003524.jpg,cat,duplicate
data\raw\images\dog_00220_flickr_dog_000244.jpg,dog,duplicate
data\raw\images\dog_00233_flickr_dog_000262.jpg,dog,duplicate
data\raw\images\dog_01119_pixabay_dog_000064.jpg,dog,duplicate
data\raw\images\dog_01265_pixabay_dog_000223.jpg,dog,duplicate
data\raw\images\dog_01954_pixabay_dog_001000.jpg,dog,duplicate
data\raw\images\dog_01970_pixabay_dog_001017.jpg,dog,duplicate
data\raw\images\dog_02189_pixabay_dog_001263.jpg,dog,duplicate
data\raw\images\dog_02774_pixabay_dog_001895.jpg,dog,duplicate
data\raw\images\dog_03449_pixabay_dog_002640.jpg,dog,duplicate
data\raw\images\dog_03451_pixabay_dog_002642.jpg,dog,duplicate
data\raw\images\dog_03482_pixabay_dog_002676.jpg,dog,duplicate
data\raw\images\dog_03492_pixabay_dog_002687.jpg,dog,duplicate
data\raw\images\dog_04055_pixabay_dog_003302.jpg,dog,duplicate
data\raw\images\dog_04210_pixabay_dog_003479.jpg,dog,duplicate
data\raw\images\dog_04848_flickr_dog_001067.jpg,dog,duplicate
