filepath,species,split
data\processed\images_128\cat_03792_pixabay_cat_003340.jpg,cat,train
data\processed\images_128\cat_03004_pixabay_cat_002491.jpg,cat,train
data\processed\images_128\cat_00890_pixabay_cat_000179.jpg,cat,train
data\processed\images_128\cat_00802_pixabay_cat_000080.jpg,cat,train
data\processed\images_128\cat_05206_flickr_cat_000526.jpg,cat,train
data\processed\images_128\cat_03776_pixabay_cat_003324.jpg,cat,train
data\processed\images_128\cat_04209_pixabay_cat_003801.jpg,cat,train
data\processed\images_128\cat_01957_pixabay_cat_001356.jpg,cat,train
data\processed\images_128\dog_03137_pixabay_dog_002298.jpg,dog,train
data\processed\images_128\dog_03680_pixabay_dog_002896.jpg,dog,train
data\processed\images_128\cat_03634_pixabay_cat_003172.jpg,cat,train
data\processed\images_128\cat_02095_pixabay_cat_001509.jpg,cat,train
data\processed\images_128\cat_01483_pixabay_cat_000837.jpg,cat,train
data\processed\images_128\dog_03964_pixabay_dog_003204.jpg,dog,train
data\processed\images_128\cat_00312_flickr_cat_000355.jpg,cat,train
data\processed\images_128\dog_01833_pixabay_dog_000870.jpg,dog,train
data\processed\images_128\cat_01576_pixabay_cat_000943.jpg,cat,train
data\processed\images_128\cat_04364_pixabay_cat_003971.jpg,cat,train
data\processed\images_128\cat_01625_pixabay_cat_000997.jpg,cat,train
data\processed\images_128\dog_00549_flickr_dog_000605.jpg,dog,train
data\processed\images_128\dog_03223_pixabay_dog_002394.jpg,dog,train
data\processed\images_128\cat_04726_pixabay_cat_004363.jpg,cat,train
data\processed\images_128\dog_04461_pixabay_dog_003757.jpg,dog,train
data\processed\images_128\cat_03192_pixabay_cat_002689.jpg,cat,train
data\processed\images_128\dog_00806_flickr_dog_000900.jpg,dog,train
data\processed\images_128\cat_01224_pixabay_cat_000549.jpg,cat,train
data\processed\images_128\dog_00111_flickr_dog_000123.jpg,dog,train
data\processed\images_128\dog_04621_pixabay_dog_003926.jpg,dog,train
data\processed\images_128\dog_00488_flickr_dog_000534.jpg,dog,train
data\processed\images_128\cat_02387_pixabay_cat_001820.jpg,cat,train
data\processed\images_128\dog_04401_pixabay_dog_003688.jpg,dog,train
data\processed\images_128\dog_04365_pixabay_dog_003648.jpg,dog,train
data\processed\images_128\cat_03223_pixabay_cat_002725.jpg,cat,train
data\processed\images_128\dog_03044_pixabay_dog_002197.jpg,dog,train
data\processed\images_128\cat_02949_pixabay_cat_002427.jpg,cat,train
data\processed\images_128\dog_03112_pixabay_dog_002271.jpg,dog,train
data\processed\images_128\cat_00395_flickr_cat_000447.jpg,cat,train
data\processed\images_128\dog_04087_pixabay_dog_003339.jpg,dog,train
data\processed\images_128\dog_03298_pixabay_dog_002475.jpg,dog,train
data\processed\images_128\cat_02341_pixabay_cat_001772.jpg,cat,train
data\processed\images_128\dog_03278_pixabay_dog_002455.jpg,dog,train
data\processed\images_128\cat_00554_flickr_cat_000625.jpg,cat,train
data\processed\images_128\dog_04655_pixabay_dog_003964.jpg,dog,train
data\processed\images_128\cat_05652_pixabay_cat_004832.jpg,cat,train
data\processed\images_128\cat_00617_flickr_cat_000696.jpg,cat,train
data\processed\images_128\dog_00070_flickr_dog_000077.jpg,dog,train
data\processed\images_128\cat_02065_pixabay_cat_001477.jpg,cat,train
data\processed\images_128\dog_03621_pixabay_dog_002830.jpg,dog,train
data\processed\images_128\cat_00756_pixabay_cat_000029.jpg,cat,train
data\processed\images_128\dog_01860_pixabay_dog_000899.jpg,dog,train
data\processed\images_128\cat_04753_pixabay_cat_004392.jpg,cat,train
data\processed\images_128\cat_01901_pixabay_cat_001296.jpg,cat,train
data\processed\images_128\dog_02638_pixabay_dog_001751.jpg,dog,train
data\processed\images_128\cat_02914_pixabay_cat_002390.jpg,cat,train
data\processed\images_128\dog_04670_pixabay_dog_003981.jpg,dog,train
data\processed\images_128\dog_00253_flickr_dog_000282.jpg,dog,train
data\processed\images_128\cat_05603_pixabay_cat_004311.jpg,cat,train
data\processed\images_128\dog_02575_pixabay_dog_001683.jpg,dog,train
data\processed\images_128\cat_02201_pixabay_cat_001620.jpg,cat,train
data\processed\images_128\dog_02500_pixabay_dog_001604.jpg,dog,train
data\processed\images_128\cat_01446_pixabay_cat_000794.jpg,cat,train
data\processed\images_128\cat_03554_pixabay_cat_003087.jpg,cat,train
data\processed\images_128\dog_02637_pixabay_dog_001750.jpg,dog,train
data\processed\images_128\dog_05233_pixabay_dog_004000.jpg,dog,train
data\processed\images_128\cat_04850_pixabay_cat_004497.jpg,cat,train
data\processed\images_128\dog_03930_pixabay_dog_003166.jpg,dog,train
data\processed\images_128\cat_05070_pixabay_cat_004741.jpg,cat,train
data\processed\images_128\cat_03942_pixabay_cat_003507.jpg,cat,train
data\processed\images_128\dog_01888_pixabay_dog_000929.jpg,dog,train
data\processed\images_128\dog_04980_pixabay_dog_001153.jpg,dog,train
data\processed\images_128\cat_03753_pixabay_cat_003300.jpg,cat,train
data\processed\images_128\dog_00852_flickr_dog_000950.jpg,dog,train
data\processed\images_128\dog_01654_pixabay_dog_000671.jpg,dog,train
data\processed\images_128\dog_03535_pixabay_dog_002732.jpg,dog,train
data\processed\images_128\dog_02935_pixabay_dog_002076.jpg,dog,train
data\processed\images_128\dog_04682_pixabay_dog_003995.jpg,dog,train
data\processed\images_128\dog_02625_pixabay_dog_001738.jpg,dog,train
data\processed\images_128\cat_02559_pixabay_cat_002002.jpg,cat,train
data\processed\images_128\cat_05587_pixabay_cat_004102.jpg,cat,train
data\processed\images_128\dog_03123_pixabay_dog_002283.jpg,dog,train
data\processed\images_128\cat_02716_pixabay_cat_002174.jpg,cat,train
data\processed\images_128\dog_04306_pixabay_dog_003587.jpg,dog,train
data\processed\images_128\dog_02306_pixabay_dog_001393.jpg,dog,train
data\processed\images_128\dog_00942_flickr_dog_001051.jpg,dog,train
data\processed\images_128\dog_01763_pixabay_dog_000792.jpg,dog,train
data\processed\images_128\dog_04715_pixabay_dog_004033.jpg,dog,train
data\processed\images_128\cat_04497_pixabay_cat_004115.jpg,cat,train
data\processed\images_128\dog_03949_pixabay_dog_003186.jpg,dog,train
data\processed\images_128\cat_01266_pixabay_cat_000594.jpg,cat,train
