stage,stage_index,kind,epoch,path,size_mb
stage1,1,best,,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\best\generator_best.weights.h5,12.308364868164062
stage1,1,rolling,,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\generator.weights.h5,12.308364868164062
stage1,1,snapshot,25.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\snapshots\generator_e025.weights.h5,12.308364868164062
stage1,1,snapshot,50.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\snapshots\generator_e050.weights.h5,12.308364868164062
stage1,1,snapshot,75.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\snapshots\generator_e075.weights.h5,12.308364868164062
stage1,1,snapshot,100.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\snapshots\generator_e100.weights.h5,12.308364868164062
stage1,1,snapshot,125.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\snapshots\generator_e125.weights.h5,12.308364868164062
stage1,1,snapshot,150.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage1\snapshots\generator_e150.weights.h5,12.308364868164062
stage2,2,best,,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\best\generator_best.weights.h5,12.308364868164062
stage2,2,rolling_ema,,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\generator_ema.weights.h5,12.308364868164062
stage2,2,rolling,,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\generator.weights.h5,12.308364868164062
stage2,2,snapshot_ema,25.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e025.weights.h5,12.308364868164062
stage2,2,snapshot_ema,50.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e050.weights.h5,12.308364868164062
stage2,2,snapshot_ema,75.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e075.weights.h5,12.308364868164062
stage2,2,snapshot_ema,100.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e100.weights.h5,12.308364868164062
stage2,2,snapshot_ema,125.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e125.weights.h5,12.308364868164062
stage2,2,snapshot_ema,150.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e150.weights.h5,12.308364868164062
stage2,2,snapshot_ema,175.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e175.weights.h5,12.308364868164062
stage2,2,snapshot_ema,200.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_ema_e200.weights.h5,12.308364868164062
stage2,2,snapshot,25.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_e025.weights.h5,12.308364868164062
stage2,2,snapshot,50.0,D:\Images by GAN\dog-gan-project\models\sobelv5\stage2\snapshots\generator_e050.weights.h5,12.308364868164062
